FP-non-inferning	TP-non-inferning
0.000742615	0.013723755
0.000742967	0.013896108
0.000748838	0.014067024
0.000779962	0.014256727
0.000784094	0.014363385
0.000796109	0.014450591
0.000808952	0.014532434
0.000837824	0.01475947
0.000840235	0.014822349
0.000843173	0.014916925
0.000847215	0.015083172
0.000854762	0.015243165
0.000867521	0.015390506
0.00088412	0.015479799
0.000889723	0.015627885
0.000907451	0.0158162
0.00094015	0.015939626
0.000947401	0.016429525
0.000949568	0.016941269
0.00095651	0.017033172
0.000957598	0.017561643
0.000958849	0.017695189
0.000961002	0.017829723
0.000985252	0.018480015
0.001004678	0.018615135
0.00101715	0.018762351
0.001032569	0.019236528
0.001052734	0.019486451
0.001053043	0.019645225
0.001069693	0.019742032
0.001076855	0.019884712
0.001083073	0.020035418
0.001087894	0.020126405
0.001132246	0.020354899
0.00113435	0.020454163
0.001153615	0.020790426
0.001161378	0.020899062
0.001168718	0.020960423
0.001178816	0.021094198
0.001193934	0.021291059
0.001195583	0.021448153
0.001223792	0.021639541
0.001230011	0.021732565
0.001244287	0.021891608
0.001291415	0.02232305
0.001320587	0.022490827
0.001323045	0.022646201
0.001373108	0.022811047
0.001380888	0.022899636
0.001402334	0.022968523
0.001402628	0.023099778
0.001446049	0.023579505
0.001472366	0.023886259
0.00149055	0.024155464
0.001498659	0.024245136
0.001514872	0.024340053
0.001515794	0.024912573
0.00156293	0.025633698
0.001569963	0.025789203
0.001575926	0.026429939
0.001614734	0.02653271
0.00161877	0.026591373
0.001635067	0.026910964
0.001739672	0.027112436
0.00174534	0.027249671
0.001750904	0.027365937
0.001757906	0.027526487
0.001786296	0.027641038
0.001799879	0.027775541
0.001804865	0.027903555
0.001813384	0.028023596
0.001816932	0.028109792
0.001835436	0.028515948
0.001843313	0.029203686
0.001870326	0.029396109
0.00190748	0.029559131
0.001926724	0.029634621
0.001947109	0.029691106
0.00197853	0.029862633
0.001991131	0.030007698
0.002018261	0.030161435
0.002023468	0.030617126
0.002027453	0.030779089
0.002031928	0.031118035
0.0020536	0.031265685
0.002106042	0.031870258
0.002136462	0.03203035
0.002140353	0.032183145
0.002155791	0.032595012
0.002167024	0.032807701
0.002252201	0.033092306
0.002262197	0.033347639
0.002271623	0.033536228
0.002283814	0.033733916
0.002429112	0.034226353
0.002443175	0.034367619
0.002468749	0.034864989
0.002477769	0.035004834
0.00250337	0.035096332
0.002507844	0.035234284
0.002516963	0.035317108
0.002543013	0.035440066
0.002551602	0.035684882
0.002551602	0.035750939
0.002568091	0.035855511
0.00257274	0.035960561
0.002608524	0.036340089
0.002621177	0.036425883
0.002629623	0.036640359
0.002724444	0.036800528
0.002748237	0.036877821
0.002761646	0.037007507
0.002784511	0.037328183
0.002790784	0.037625532
0.002841491	0.037919366
0.002862271	0.038437544
0.002894929	0.038643612
0.002929852	0.038722822
0.002933496	0.038924242
0.002996992	0.039080136
0.003015776	0.039293206
0.003030754	0.039540592
0.003032641	0.039615895
0.00328718	0.03979199
0.00329134	0.039877293
0.003425412	0.04011035
0.003427592	0.040364032
0.003441129	0.040531553
0.003519918	0.04075062
